game_id,season,week,home_team,away_team,home_score,away_score,spread_close,total_close,home_prior_epa_sum,home_prior_plays,home_prior_epa_mean,home_rest_days,away_prior_epa_sum,away_prior_plays,away_prior_epa_mean,away_rest_days,epa_diff_prior,plays_diff_prior,rest_diff,home_margin,home_cover,is_push
2005_02_STL_ARI,2005,2,ARI,STL,12,17,-1.0,44.0,-560.3851856590584,8057.0,-0.06955258603190498,7.0,0.0,0.0,0.0,7.0,-0.06955258603190498,8057.0,0.0,-5,0.0,False
2005_04_SF_ARI,2005,4,ARI,SF,31,14,3.0,42.0,-570.9080212072397,8227.0,-0.06939443554238965,7.0,130.87347851213917,8692.0,0.015056773873923053,7.0,-0.0844512094163127,-465.0,0.0,17,1.0,False
2005_05_CAR_ARI,2005,5,ARI,CAR,20,24,-3.0,42.0,-571.4633064375839,8327.0,-0.06862775386544781,7.0,-221.9219136472977,8679.0,-0.0255699865937663,6.0,-0.04305776727168151,-352.0,1.0,-4,0.0,False
2005_07_TEN_ARI,2005,7,ARI,TEN,20,10,3.0,45.0,-579.7570349962068,8421.0,-0.06884657819691328,14.0,185.72283181461168,9567.0,0.019412860020341975,7.0,-0.08825943821725526,-1146.0,7.0,10,1.0,False
2005_09_SEA_ARI,2005,9,ARI,SEA,19,33,-4.5,44.0,-605.0539186030022,8577.0,-0.07054377038626586,7.0,232.08600403504727,8921.0,0.026015693760233972,14.0,-0.09655946414649982,-344.0,-7.0,-14,0.0,False
2005_12_JAX_ARI,2005,12,ARI,JAX,17,24,-3.5,41.5,-572.103406504387,8836.0,-0.06474687715079074,7.0,-471.4612791303875,9118.0,-0.05170665487282161,7.0,-0.013040222277969124,-282.0,0.0,-7,0.0,False
2005_14_WAS_ARI,2005,14,ARI,WAS,13,17,-3.0,41.5,-575.9446752179144,9016.0,-0.06388028784582014,7.0,-247.8028211404532,9385.0,-0.02640413650937168,7.0,-0.037476151336448466,-369.0,0.0,-4,0.0,False
2005_16_PHI_ARI,2005,16,ARI,PHI,27,21,1.0,39.5,-596.4701478123073,9169.0,-0.06505291174744326,6.0,36.51317536216077,10174.0,0.003588871177723685,6.0,-0.06864178292516696,-1005.0,0.0,6,1.0,False
2006_01_SF_ARI,2006,1,ARI,SF,34,27,9.5,44.0,-597.5778788738887,9364.0,-0.063816518461543,252.0,-5.0914518046394175,9714.0,-0.0005241354544615419,252.0,-0.06329238300708145,-350.0,0.0,7,1.0,False
2006_03_STL_ARI,2006,3,ARI,STL,14,16,5.5,45.0,-606.4879701803309,9541.0,-0.06356649933763033,7.0,0.0,0.0,0.0,7.0,-0.06356649933763033,9541.0,0.0,-2,1.0,False
