config_id,alpha,lr,hidden_dims,match_rate,avg_q_value,q_value_stats,action_distribution,estimated_policy_reward,logged_avg_reward,final_loss,final_td_loss,final_cql_loss
11,0.1,0.0003,"[128, 64, 32]",0.9405363389040031,-10.463383674621582,"{'mean': -10.463383674621582, 'std': 8.227742195129395, 'min': -23.872976303100586, 'max': 0.8727254867553711, 'q25': -18.537452697753906, 'q50': -11.027261734008789, 'q75': -0.06449303030967712}","{0: 0.8198600855033036, 1: 0.1733385153517295, 2: 0.006801399144966964}",0.024362614321143443,0.014117764309048653,0.10482688322663307,0.09089017687365412,0.1393670581281185
12,0.1,0.0003,"[256, 128, 64]",0.9543334628837933,-12.583268165588379,"{'mean': -12.583268165588379, 'std': 10.262353897094727, 'min': -29.595409393310547, 'max': 0.9374107718467712, 'q25': -22.166929244995117, 'q50': -12.258281707763672, 'q75': -0.11067819595336914}","{0: 0.8140303148076176, 1: 0.17839098328799066, 2: 0.0075787019043917605}",0.025763702702994853,0.014117764309048653,0.08538948437198997,0.07508571920916438,0.10303765423595905
13,0.1,0.001,"[128, 64]",0.9624951418577536,-15.435368537902832,"{'mean': -15.435368537902832, 'std': 13.336935043334961, 'min': -45.887489318847656, 'max': 1.1785330772399902, 'q25': -26.05991554260254, 'q50': -14.730697631835938, 'q75': -0.11487133055925369}","{0: 0.7957636999611348, 1: 0.1931597357170618, 2: 0.011076564321803343}",0.027537896470526894,0.014117764309048653,0.09014112362638116,0.08001544252038002,0.10125681422650815
14,0.1,0.001,"[128, 64, 32]",0.9539448115040808,-13.021987915039062,"{'mean': -13.021987915039062, 'std': 9.938715934753418, 'min': -28.485727310180664, 'max': 1.0342835187911987, 'q25': -22.817691802978516, 'q50': -13.102062225341797, 'q75': -0.09285128861665726}","{0: 0.806645938593082, 1: 0.18422075398367665, 2: 0.009133307423241352}",0.027055968616984487,0.014117764309048653,0.08120980886742472,0.07227728487923742,0.08932523392140865
15,0.1,0.001,"[256, 128, 64]",0.9578313253012049,-14.335373878479004,"{'mean': -14.335373878479004, 'std': 11.107686042785645, 'min': -32.50763702392578, 'max': 0.8504290580749512, 'q25': -25.49579429626465, 'q50': -14.610715866088867, 'q75': -0.1529141366481781}","{0: 0.791099883404586, 1: 0.20190439176059075, 2: 0.006995724834823164}",0.025027208496428074,0.014117764309048653,0.08908409150317312,0.07890606801956893,0.10178023809567094
16,0.3,1e-05,"[128, 64]",0.8231636222308589,-2.1290948390960693,"{'mean': -2.1290948390960693, 'std': 2.0156118869781494, 'min': -5.430902481079102, 'max': 0.9313924908638, 'q25': -4.0729756355285645, 'q50': -1.7768757343292236, 'q75': -0.014566777274012566}","{0: 0.7602020987174505, 1: 0.23979790128254955}",0.03060435513276976,0.014117764309048653,0.256288743019104,0.10262663587927819,0.5122070021927356
17,0.3,1e-05,"[128, 64, 32]",0.8527011270890011,-1.7637940645217896,"{'mean': -1.7637940645217896, 'std': 1.551805019378662, 'min': -4.296676158905029, 'max': 1.1495510339736938, 'q25': -3.339954376220703, 'q50': -1.5735604763031006, 'q75': -0.028754495084285736}","{0: 0.8188884570540226, 1: 0.18111154294597745}",0.02921881274495012,0.014117764309048653,0.24482668973505498,0.09547922946512699,0.497824839502573
18,0.3,1e-05,"[256, 128, 64]",0.8703847648659153,-2.4600160121917725,"{'mean': -2.4600160121917725, 'std': 2.0470564365386963, 'min': -5.606360912322998, 'max': 1.4511103630065918, 'q25': -4.411996841430664, 'q50': -2.5546646118164062, 'q75': -0.10676232725381851}","{0: 0.8717450446949087, 1: 0.12825495530509134}",0.022211428032373574,0.014117764309048653,0.2352037400007248,0.10649526799097657,0.4290282242000103
19,0.3,3e-05,"[128, 64]",0.8886513797123979,-3.696580648422241,"{'mean': -3.696580648422241, 'std': 3.680219888687134, 'min': -10.948461532592773, 'max': 1.849100947380066, 'q25': -7.540435314178467, 'q50': -2.4160656929016113, 'q75': -0.046808481216430664}","{0: 0.8511465215701516, 1: 0.14885347842984842}",0.030068016045296464,0.014117764309048653,0.21746775805950164,0.10299723809584975,0.3815683849155903
20,0.3,3e-05,"[128, 64, 32]",0.8940924990283715,-3.0680530071258545,"{'mean': -3.0680530071258545, 'std': 2.6189560890197754, 'min': -7.569513320922852, 'max': 1.161082148551941, 'q25': -5.521561622619629, 'q50': -2.974541664123535, 'q75': -0.09800389409065247}","{0: 0.8525068013991449, 1: 0.14749319860085502}",0.02163816752759946,0.014117764309048653,0.2046466302126646,0.1001668855547905,0.3482658013701439
21,0.3,3e-05,"[256, 128, 64]",0.8979790128254955,-3.9984054565429688,"{'mean': -3.9984054565429688, 'std': 3.568382501602173, 'min': -9.800792694091797, 'max': 1.1699532270431519, 'q25': -7.823168754577637, 'q50': -3.4652533531188965, 'q75': -0.12973326444625854}","{0: 0.8523124757092888, 1: 0.14749319860085502, 2: 0.000194325689856199}",0.028214148994646693,0.014117764309048653,0.19304337538778782,0.1008123628795147,0.30743669122457506
22,0.3,0.0001,"[128, 64]",0.9075009716284492,-6.942155361175537,"{'mean': -6.942155361175537, 'std': 6.260519981384277, 'min': -18.10906982421875, 'max': 1.4674025774002075, 'q25': -13.278749465942383, 'q50': -5.599257469177246, 'q75': -0.2846393585205078}","{0: 0.8633890400310921, 1: 0.1366109599689079}",0.022328023752070936,0.014117764309048653,0.15615077111870052,0.09392506498843431,0.2074190191924572
23,0.3,0.0001,"[128, 64, 32]",0.9271278663039254,-6.790801525115967,"{'mean': -6.790801525115967, 'std': 5.229637622833252, 'min': -14.297426223754883, 'max': 1.1540281772613525, 'q25': -12.032831192016602, 'q50': -6.926460266113281, 'q75': -0.35809528827667236}","{0: 0.8449280994947532, 1: 0.15079673532841043, 2: 0.004275165176836378}",0.021012439101853353,0.014117764309048653,0.1328131653368473,0.09059884566813707,0.14071439690887927
24,0.3,0.0001,"[256, 128, 64]",0.8804897007384376,-6.562448501586914,"{'mean': -6.562448501586914, 'std': 5.878309726715088, 'min': -16.088346481323242, 'max': 1.12092924118042, 'q25': -12.29376220703125, 'q50': -5.688150882720947, 'q75': -0.16563549637794495}","{0: 0.6719782355227361, 1: 0.312475709288768, 2: 0.01554605518849592}",0.013072292199173744,0.014117764309048653,0.16443767175078391,0.1075040927156806,0.1897785920649767
25,0.3,0.0003,"[128, 64]",0.960940536338904,-10.753044128417969,"{'mean': -10.753044128417969, 'std': 8.391324996948242, 'min': -22.83616065979004, 'max': 0.8456848859786987, 'q25': -19.191402435302734, 'q50': -11.377552032470703, 'q75': -0.42691171169281006}","{0: 0.8010104935872522, 1: 0.19626894675476098, 2: 0.0027205596579867857}",0.01873299925419036,0.014117764309048653,0.1301496708765626,0.10011552758514881,0.1001138093881309
26,0.3,0.0003,"[128, 64, 32]",0.9615235134084726,-10.976372718811035,"{'mean': -10.976372718811035, 'std': 8.126726150512695, 'min': -22.17840576171875, 'max': 1.0029854774475098, 'q25': -18.762975692749023, 'q50': -12.287984848022461, 'q75': -0.26275378465652466}","{0: 0.807617567042363, 1: 0.18869024485036923, 2: 0.003692188107267781}",0.020888071149599213,0.014117764309048653,0.10276746107265353,0.0807740343734622,0.07331141829490662
27,0.3,0.0003,"[256, 128, 64]",0.967741935483871,-11.828872680664062,"{'mean': -11.828872680664062, 'std': 8.98725700378418, 'min': -26.002696990966797, 'max': 0.9145523309707642, 'q25': -18.90357208251953, 'q50': -12.823326110839844, 'q75': -0.3151895999908447}","{0: 0.7982899339292654, 1: 0.19801787796346676, 2: 0.003692188107267781}",0.019795960864342467,0.014117764309048653,0.1101879432797432,0.08959480635821819,0.06864378564059734
28,0.3,0.001,"[128, 64]",0.9856198989506413,-15.146714210510254,"{'mean': -15.146714210510254, 'std': 11.670635223388672, 'min': -37.66403579711914, 'max': 1.1343668699264526, 'q25': -21.133094787597656, 'q50': -16.533260345458984, 'q75': -0.5002154111862183}","{0: 0.7837155071900506, 1: 0.20423630003886514, 2: 0.012048192771084338}",0.018709680517962412,0.014117764309048653,0.0874781965278089,0.07653007777407765,0.036493728403002024
29,0.3,0.001,"[128, 64, 32]",0.9805674310143802,-14.893749237060547,"{'mean': -14.893749237060547, 'std': 11.58727741241455, 'min': -33.40924072265625, 'max': 0.9935954809188843, 'q25': -26.033634185791016, 'q50': -14.570962905883789, 'q75': -0.6148637533187866}","{0: 0.8006218422075398, 1: 0.1883015934706568, 2: 0.011076564321803343}",0.015505249693474324,0.014117764309048653,0.10333457272499799,0.08741928329691291,0.05305096078664064
30,0.3,0.001,"[256, 128, 64]",0.9862028760202098,-17.572437286376953,"{'mean': -17.572437286376953, 'std': 13.345691680908203, 'min': -36.75751495361328, 'max': 1.0631028413772583, 'q25': -31.526464462280273, 'q50': -17.204811096191406, 'q75': -0.5168036818504333}","{0: 0.7893509521958803, 1: 0.20054411193159735, 2: 0.010104935872522347}",0.01847843290116599,0.014117764309048653,0.09310443932190537,0.08124215519055725,0.03954094706568867
31,1.0,1e-05,"[128, 64]",0.8420132141469102,-2.4752516746520996,"{'mean': -2.4752516746520996, 'std': 2.1110548973083496, 'min': -5.683291435241699, 'max': 1.0019850730895996, 'q25': -4.516176700592041, 'q50': -2.539525032043457, 'q75': -0.12193161249160767}","{0: 0.8966187329965022, 1: 0.10338126700349787}",0.00908472714746596,0.014117764309048653,0.5659563452005386,0.13031779043376446,0.435638552904129
32,1.0,1e-05,"[128, 64, 32]",0.8595025262339682,-1.9434988498687744,"{'mean': -1.9434988498687744, 'std': 1.6439869403839111, 'min': -4.098372459411621, 'max': 1.227217197418213, 'q25': -3.5038254261016846, 'q50': -2.215303421020508, 'q75': 0.04771970584988594}","{0: 0.8655266226195103, 1: 0.1344733773804897}",0.020831715583430624,0.014117764309048653,0.5702336065471172,0.11893239673227071,0.45130120813846586
33,1.0,1e-05,"[256, 128, 64]",0.8835989117761368,-2.5643584728240967,"{'mean': -2.5643584728240967, 'std': 2.14076566696167, 'min': -5.80729866027832, 'max': 1.2177735567092896, 'q25': -4.509553909301758, 'q50': -2.8145618438720703, 'q75': -0.10936881601810455}","{0: 0.8509521958802954, 1: 0.1490478041197046}",0.016439955196536286,0.014117764309048653,0.4922605037689209,0.1339172063395381,0.35834329575300217
34,1.0,3e-05,"[128, 64]",0.9005052467936261,-4.221948146820068,"{'mean': -4.221948146820068, 'std': 3.5429935455322266, 'min': -10.996553421020508, 'max': 2.0367591381073, 'q25': -7.709808826446533, 'q50': -3.9095497131347656, 'q75': -0.4149796962738037}","{0: 0.8637776914108045, 1: 0.13622230858919548}",0.02342207735028658,0.014117764309048653,0.3663507975637913,0.12323430273681879,0.24311649464070798
35,1.0,3e-05,"[128, 64, 32]",0.8898173338515352,-4.235382080078125,"{'mean': -4.235382080078125, 'std': 3.0330259799957275, 'min': -8.167899131774902, 'max': 1.393946647644043, 'q25': -7.077659606933594, 'q50': -5.011285781860352, 'q75': -0.48402613401412964}","{0: 0.8810726778080062, 1: 0.11892732219199378}",0.012545668147576721,0.014117764309048653,0.2924907386302948,0.11869172463193536,0.17379901707172393
36,1.0,3e-05,"[256, 128, 64]",0.9417022930431403,-4.401279926300049,"{'mean': -4.401279926300049, 'std': 3.4286038875579834, 'min': -9.521683692932129, 'max': 1.252502202987671, 'q25': -7.6813249588012695, 'q50': -4.875859260559082, 'q75': -0.484569251537323}","{0: 0.8243295763699962, 1: 0.1735328410415857, 2: 0.002137582588418189}",0.019906726135523738,0.014117764309048653,0.3175117433071136,0.11917589642107487,0.19833584763109685
37,1.0,0.0001,"[128, 64]",0.9630781189273222,-7.6036858558654785,"{'mean': -7.6036858558654785, 'std': 6.1345391273498535, 'min': -17.651838302612305, 'max': 1.4100451469421387, 'q25': -13.472530364990234, 'q50': -7.412257194519043, 'q75': -0.6558241844177246}","{0: 0.8035367275553829, 1: 0.1945200155460552, 2: 0.00194325689856199}",0.011892734869324276,0.014117764309048653,0.23033010251820088,0.10566474627703429,0.12466535810381174
38,1.0,0.0001,"[128, 64, 32]",0.9572483482316362,-7.360602378845215,"{'mean': -7.360602378845215, 'std': 5.35668420791626, 'min': -14.830270767211914, 'max': 1.3662739992141724, 'q25': -12.614840507507324, 'q50': -8.435718536376953, 'q75': -0.6626722812652588}","{0: 0.8196657598134474, 1: 0.16731441896618732, 2: 0.013019821220365333}",0.009609407886104086,0.014117764309048653,0.24042007550597191,0.10930547472089529,0.1311146005988121
39,1.0,0.0001,"[256, 128, 64]",0.9403420132141469,-7.964871883392334,"{'mean': -7.964871883392334, 'std': 5.9499192237854, 'min': -15.947118759155273, 'max': 1.2459794282913208, 'q25': -13.572005271911621, 'q50': -9.087940216064453, 'q75': -0.30166104435920715}","{0: 0.8324912553439565, 1: 0.16517683637776914, 2: 0.002331908278274388}",0.010077732548934218,0.014117764309048653,0.22778770960867406,0.11267812503501773,0.11510958559811116
40,1.0,0.0003,"[128, 64]",0.9591916051301982,-10.341965675354004,"{'mean': -10.341965675354004, 'std': 7.735045433044434, 'min': -23.591657638549805, 'max': 1.758556604385376, 'q25': -17.668054580688477, 'q50': -11.964977264404297, 'q75': -0.7632127404212952}","{0: 0.8177225029148854, 1: 0.1750874465604353, 2: 0.007190050524679362}",0.01793432056185711,0.014117764309048653,0.16813547182828187,0.10239181341603398,0.06574365869164467
41,1.0,0.0003,"[128, 64, 32]",0.9321803342401865,-10.187032699584961,"{'mean': -10.187032699584961, 'std': 7.126828193664551, 'min': -20.223522186279297, 'max': 1.2685688734054565, 'q25': -16.002307891845703, 'q50': -12.685895919799805, 'q75': -0.44848692417144775}","{0: 0.8455110765643218, 1: 0.14691022153128644, 2: 0.0075787019043917605}",0.013219978887655835,0.014117764309048653,0.1902454948052764,0.09851736128330231,0.09172813221812248
42,1.0,0.0003,"[256, 128, 64]",0.9504469490866693,-12.328937530517578,"{'mean': -12.328937530517578, 'std': 8.881057739257812, 'min': -25.824045181274414, 'max': 1.1666477918624878, 'q25': -19.6856689453125, 'q50': -13.854692459106445, 'q75': -0.5295562744140625}","{0: 0.8233579479207151, 1: 0.1710066070734551, 2: 0.005635445005829771}",0.015880297882474446,0.014117764309048653,0.1692415464669466,0.10138439107686281,0.06785715548321605
43,1.0,0.001,"[128, 64]",0.9914496696463272,-16.29535675048828,"{'mean': -16.29535675048828, 'std': 12.014427185058594, 'min': -38.02727508544922, 'max': 0.9727224111557007, 'q25': -24.03762435913086, 'q50': -19.012271881103516, 'q75': -0.8160885572433472}","{0: 0.7821609016712009, 1: 0.2077341624562767, 2: 0.010104935872522347}",0.01485814533481976,0.014117764309048653,0.12243956215679645,0.08528036922216416,0.03715919341193512
44,1.0,0.001,"[128, 64, 32]",0.9753206373882627,-15.012066841125488,"{'mean': -15.012066841125488, 'std': 11.606066703796387, 'min': -34.53782272338867, 'max': 1.030824065208435, 'q25': -24.09122657775879, 'q50': -15.988748550415039, 'q75': -0.5457659959793091}","{0: 0.7656432180334241, 1: 0.22230858919549165, 2: 0.012048192771084338}",0.015371165176425701,0.014117764309048653,0.19622161909937857,0.11424397937953472,0.08197763958014548
45,1.0,0.001,"[256, 128, 64]",0.9904780411970463,-19.52988052368164,"{'mean': -19.52988052368164, 'std': 14.998733520507812, 'min': -42.536746978759766, 'max': 1.222257375717163, 'q25': -33.12070846557617, 'q50': -19.763214111328125, 'q75': -0.5471544861793518}","{0: 0.778274387874077, 1: 0.20753983676642052, 2: 0.014185775359502526}",0.013816559657576109,0.014117764309048653,0.11671964172273874,0.08168748440220952,0.03503215671516955
46,3.0,1e-05,"[128, 64]",0.8441507967353284,-2.4293630123138428,"{'mean': -2.4293630123138428, 'std': 2.0945801734924316, 'min': -5.370569705963135, 'max': 1.1219309568405151, 'q25': -4.705014705657959, 'q50': -2.159365653991699, 'q75': -0.03259200602769852}","{0: 0.8643606684803731, 1: 0.1356393315196269}",0.008845706788473356,0.014117764309048653,1.480291125178337,0.16964585334062576,0.43688175827264786
47,3.0,1e-05,"[128, 64, 32]",0.8600855033035367,-1.8658655881881714,"{'mean': -1.8658655881881714, 'std': 1.5157008171081543, 'min': -3.825849771499634, 'max': 1.0438343286514282, 'q25': -3.1979031562805176, 'q50': -2.4293785095214844, 'q75': -0.13994666934013367}","{0: 0.8874854255732608, 1: 0.11251457442673922}",0.011830549364278995,0.014117764309048653,1.3825383961200715,0.17893149331212044,0.40120229721069334
48,3.0,1e-05,"[256, 128, 64]",0.8900116595413914,-2.4033267498016357,"{'mean': -2.4033267498016357, 'std': 1.9497811794281006, 'min': -5.282148361206055, 'max': 1.1424908638000488, 'q25': -4.253424167633057, 'q50': -2.7141191959381104, 'q75': -0.2682790160179138}","{0: 0.7951807228915663, 1: 0.20481927710843373}",0.02322386554415199,0.014117764309048653,1.0997319996356965,0.15566900745034218,0.3146876607090235
49,3.0,3e-05,"[128, 64]",0.93354061406918,-4.037379741668701,"{'mean': -4.037379741668701, 'std': 3.2380483150482178, 'min': -9.710158348083496, 'max': 2.8272581100463867, 'q25': -6.909806251525879, 'q50': -4.018946647644043, 'q75': -0.7625625133514404}","{0: 0.8159735717061796, 1: 0.18402642829382043}",0.02531481015047488,0.014117764309048653,0.8085508182644844,0.16684210635721683,0.21390290260314943
50,3.0,3e-05,"[128, 64, 32]",0.929654100272056,-3.6763756275177,"{'mean': -3.6763756275177, 'std': 2.7263433933258057, 'min': -7.079161643981934, 'max': 2.1287589073181152, 'q25': -6.226763725280762, 'q50': -4.5949482917785645, 'q75': -0.4313391149044037}","{0: 0.8251068791294209, 1: 0.1746987951807229, 2: 0.000194325689856199}",0.017994561225025282,0.014117764309048653,0.744519554823637,0.14903447460383176,0.19849502928555013
51,3.0,3e-05,"[256, 128, 64]",0.9226583754372328,-4.116602420806885,"{'mean': -4.116602420806885, 'std': 3.297180414199829, 'min': -9.900897979736328, 'max': 1.7044609785079956, 'q25': -7.087742328643799, 'q50': -4.477391242980957, 'q75': -0.638314425945282}","{0: 0.7508744656043529, 1: 0.2489312087057909, 2: 0.000194325689856199}",0.0207501000066328,0.014117764309048653,0.7468722626566887,0.172274961322546,0.19153243266046047
52,3.0,0.0001,"[128, 64]",0.9770695685969685,-7.785778522491455,"{'mean': -7.785778522491455, 'std': 6.1880621910095215, 'min': -20.871564865112305, 'max': 2.057305097579956, 'q25': -12.746044158935547, 'q50': -8.605461120605469, 'q75': -1.0111868381500244}","{0: 0.7804119704624951, 1: 0.21084337349397592, 2: 0.008744656043528955}",0.013511468186899238,0.014117764309048653,0.43478386104106903,0.14242978449910879,0.09745135800912977
53,3.0,0.0001,"[128, 64, 32]",0.9510299261562378,-7.071659088134766,"{'mean': -7.071659088134766, 'std': 5.08667516708374, 'min': -13.128157615661621, 'max': 1.7265468835830688, 'q25': -12.233391761779785, 'q50': -8.12605094909668, 'q75': -0.6094900369644165}","{0: 0.8276331130975515, 1: 0.16245627671978236, 2: 0.009910610182666148}",0.014413138898578174,0.014117764309048653,0.41278244368731976,0.12206827839836479,0.09690472148358822
54,3.0,0.0001,"[256, 128, 64]",0.9766809172172561,-8.93196964263916,"{'mean': -8.93196964263916, 'std': 6.700711250305176, 'min': -18.178316116333008, 'max': 2.0827741622924805, 'q25': -15.992890357971191, 'q50': -9.211095809936523, 'q75': -0.8038450479507446}","{0: 0.7988729109988341, 1: 0.18402642829382043, 2: 0.017100660707345512}",0.016158183991005576,0.014117764309048653,0.7029936604201794,0.16738161277025937,0.17853734763339163
55,3.0,0.0003,"[128, 64]",0.9772638942868247,-10.615602493286133,"{'mean': -10.615602493286133, 'std': 7.563190937042236, 'min': -24.377199172973633, 'max': 2.9010863304138184, 'q25': -17.328510284423828, 'q50': -13.310798645019531, 'q75': -1.6420649290084839}","{0: 0.7771084337349398, 1: 0.2106490478041197, 2: 0.012242518460940537}",0.014343182180254922,0.014117764309048653,0.39328849501907825,0.12696241978555917,0.08877535909414291
56,3.0,0.0003,"[128, 64, 32]",0.8870967741935484,-10.233810424804688,"{'mean': -10.233810424804688, 'std': 8.44831657409668, 'min': -22.806257247924805, 'max': 2.1029844284057617, 'q25': -19.486263275146484, 'q50': -10.330801010131836, 'q75': -0.22855950891971588}","{0: 0.6813058686358336, 1: 0.30120481927710846, 2: 0.01748931208705791}",0.012028763208971198,0.014117764309048653,0.50848756916821,0.13639024663716554,0.12403244329616428
57,3.0,0.0003,"[256, 128, 64]",0.9863972017100661,-11.437405586242676,"{'mean': -11.437405586242676, 'std': 8.460357666015625, 'min': -24.637147903442383, 'max': 1.6514317989349365, 'q25': -17.911136627197266, 'q50': -13.171979904174805, 'q75': -0.4985726475715637}","{0: 0.7862417411581811, 1: 0.20462495141857753, 2: 0.009133307423241352}",0.013972020107533187,0.014117764309048653,0.3285725489258766,0.11372752990573645,0.07161500649526716
58,3.0,0.001,"[128, 64]",0.9691022153128643,-17.93128776550293,"{'mean': -17.93128776550293, 'std': 14.404858589172363, 'min': -46.22315979003906, 'max': 1.2957861423492432, 'q25': -24.54523277282715, 'q50': -19.30342674255371, 'q75': -0.5785883665084839}","{0: 0.755926933540614, 1: 0.2312475709288768, 2: 0.012825495530509134}",0.014152743116316516,0.014117764309048653,0.24041654020547867,0.10739870145916938,0.04433927908539772
59,3.0,0.001,"[128, 64, 32]",0.9760979401476875,-14.717148780822754,"{'mean': -14.717148780822754, 'std': 10.528746604919434, 'min': -29.517967224121094, 'max': 1.5846974849700928, 'q25': -24.007585525512695, 'q50': -16.899511337280273, 'q75': -0.5908374786376953}","{0: 0.8064516129032258, 1: 0.18188884570540226, 2: 0.011659541391371939}",0.020928879702457232,0.014117764309048653,0.25687713325023653,0.10413863565772771,0.050912831979803744
