season,week,team,rating,variance
2022,21,WAS,0.7985874662582892,70.86618450487984
2022,21,PHI,14.277319272663782,46.042242762542024
2022,21,CIN,10.424319982433328,44.21119724041885
2022,21,LAC,3.5893996788833578,60.22296331921815
2022,21,NO,2.3011639770832586,71.03152622297155
2022,21,TB,-6.9039785552748585,60.52249529267667
2022,21,SF,7.987511527172598,42.302248505521824
2022,21,ARI,-7.813437531967807,70.3956465502524
2022,21,LA,-1.7493768298190406,69.25894387519514
2022,21,DAL,5.74981151484438,51.16869381181628
2022,21,NYG,-2.4701778425485106,51.47249515115591
2022,21,PIT,3.8211665692280037,69.39295558970477
2022,21,DEN,-4.539141633889571,69.37300555455474
2022,21,TEN,-3.5119972763226373,69.19866317387883
2022,22,KC,10.758081436088972,44.86437683521695
2022,22,HOU,-7.630285527826199,78.28436097574132
2022,22,ATL,-2.587623473987508,80.0133789893335
2022,22,SEA,-0.0500727343385905,69.43953324334399
2022,22,BAL,0.29321761299947646,69.75438610012176
2022,22,CLE,-0.2539003487301503,78.5170816916231
2022,22,BUF,4.459140238145688,62.937444177528995
2022,22,NYJ,-3.0102056425709653,78.4963365587103
2022,22,CAR,1.6852781253686326,79.39838190637744
2022,22,LV,-1.437778642383394,78.18787514380759
2022,22,DET,6.6102248355100315,78.37320159301977
2022,22,CHI,-13.252047048557461,79.83328364935699
2022,22,JAX,5.180200615529033,60.54062645447757
2022,22,IND,-12.400975478297278,79.85942516017589
2022,22,MIN,-3.409470079630607,69.29283239324906
2022,22,GB,4.36876559466456,79.85931925795033
2022,22,NE,1.1556360942381254,78.80792540400878
2022,22,MIA,1.9036435673719816,69.66489779963354
2022,22,WAS,0.7985874662582892,79.86618450487984
2022,22,PHI,12.219900961780056,44.820884259571976
2022,22,CIN,10.424319982433328,53.21119724041885
2022,22,LAC,3.5893996788833578,69.22296331921815
2022,22,NO,2.3011639770832586,80.03152622297155
2022,22,TB,-6.9039785552748585,69.52249529267667
2022,22,SF,7.987511527172598,51.302248505521824
2022,22,ARI,-7.813437531967807,79.3956465502524
2022,22,LA,-1.7493768298190406,78.25894387519514
2022,22,DAL,5.74981151484438,60.16869381181628
2022,22,NYG,-2.4701778425485106,60.47249515115591
2022,22,PIT,3.8211665692280037,78.39295558970477
2022,22,DEN,-4.539141633889571,78.37300555455474
2022,22,TEN,-3.5119972763226373,78.19866317387883
2023,1,KC,9.500180199369069,45.00489243653756
2023,1,HOU,-9.011938983624614,65.6584653597712
2023,1,ATL,1.2731048697538192,67.22560119388102
2023,1,SEA,-4.774808388680208,60.95754148759797
2023,1,BAL,1.5398472325341528,61.148790174937595
2023,1,CLE,7.346569242505318,64.72025205083712
2023,1,BUF,2.1763987532041096,56.96712690151053
2023,1,NYJ,-0.2337445168451735,65.35005912882873
2023,1,CAR,-2.14877628804396,66.91062937386222
2023,1,LV,-1.3414503009071383,66.11942632824314
2023,1,DET,8.650661665889903,64.06216062696569
2023,1,CHI,-13.954816290468505,67.15032534525054
2023,1,JAX,4.154963082458043,55.50929610931892
2023,1,IND,-11.090920874446939,65.9492372672541
2023,1,MIN,-5.462156514874129,60.42519288125163
2023,1,GB,5.071740806952497,67.16364923770438
2023,1,NE,2.1101677516220647,64.29243267769617
2023,1,MIA,3.3217379471028092,60.63084546378998
2023,1,WAS,-0.9400589042358327,67.1414479934632
2023,1,PHI,11.634831474967957,44.986255436030795
2023,1,CIN,5.021553988404374,50.69190178361604
2023,1,LAC,2.179272064767386,60.39097016495534
2023,1,NO,0.5049226183794111,67.1638134666381
2023,1,TB,-4.845270803597594,60.549876757955
2023,1,SF,11.839842245209379,49.41315313829272
