game_id,season,week,spread_close,total_close,home_score,away_score,home_epa_mean,away_epa_mean,epa_gap,market_prob,p_hat,edge,action,r,b_prob,pi_prob
2022_06_CAR_LA,2022,6,10.0,41.5,24,10,,,0.0,0.7810116153488232,0.8052531233713702,0.024241508022546987,0,0.0,0.05,0.05
2022_06_ARI_SEA,2022,6,-2.5,50.0,19,9,,,0.0,0.43762053107847504,0.3881426272720296,-0.049477903806445456,0,0.0,0.4617180854874344,0.4523162660084983
2022_06_BUF_KC,2022,6,-2.5,54.0,20,24,,,0.0,0.4207141879874127,0.38142636976809174,-0.03928781821932098,0,-0.0,0.4766024065224281,0.4720648851683124
2022_06_DAL_PHI,2022,6,6.5,42.5,26,17,,,0.0,0.723912553527158,0.7118449305747331,-0.012067622952424917,0,0.0,0.5169468401495201,0.525883482006471
2022_06_DEN_LAC,2022,6,3.5,45.5,19,16,,,0.0,0.6336902505251294,0.6100808933657756,-0.02360935715935375,0,0.0,0.4997561137818319,0.5029211589560829
2022_07_NO_ARI,2022,7,2.5,44.0,42,34,,,0.0,0.5686556434219985,0.5776535751006951,0.008997931678696669,1,0.9099999999999999,0.5484969020460088,0.5679880967415888
2022_07_CLE_BAL,2022,7,6.5,46.0,23,20,,,0.0,0.7174723389148571,0.7067260111724842,-0.01074632774237283,0,0.0,0.5189206286540521,0.5285205723300278
2022_07_TB_CAR,2022,7,-13.0,39.5,21,3,,,0.0,0.15527950310559008,0.12958255960877227,-0.02569694349681781,0,0.0,0.05,0.05
2022_07_ATL_CIN,2022,7,6.5,47.5,35,17,,,0.0,0.7098956093365132,0.7045159769605235,-0.005379632375989707,0,0.0,0.5269469075725935,0.5392423956226455
2022_07_DET_DAL,2022,7,7.0,49.5,24,6,,,0.0,0.7149278269657159,0.7165235122330798,0.0015956852673638666,1,0.9099999999999999,0.5373961985021286,0.5531913271972779
2022_07_NYG_JAX,2022,7,3.0,44.0,17,23,,,0.0,0.6069415603678433,0.5952519815117446,-0.01168957885609867,0,-0.0,0.5175114702792586,0.5266378656634378
2022_07_IND_TEN,2022,7,2.5,43.0,19,10,,,0.0,0.5740354444580784,0.5793830978493041,0.005347653391225671,1,0.9099999999999999,0.5430219331876752,0.5606936758386482
2022_07_GB_WAS,2022,7,-4.0,41.5,23,21,,,0.0,0.35656010152897805,0.35147756755959647,-0.005082533969381575,0,-0.0,0.5273916259911989,0.5398363322861468
2022_07_NYJ_DEN,2022,7,-2.0,37.0,9,16,,,0.0,0.453954604539546,0.4279192957186076,-0.026035308820938408,0,-0.0,0.4961566274071156,0.49811681147431636
2022_07_HOU_LV,2022,7,7.0,46.0,38,20,,,0.0,0.7429694587239188,0.7215388026172546,-0.02143065610666428,0,0.0,0.5029932453000745,0.5072433670120388
2022_07_SEA_LAC,2022,7,5.5,51.5,23,37,,,0.0,0.6679400834834022,0.6671628503533699,-0.0007772331300323065,0,-0.0,0.5338397808805151,0.5484455387481273
2022_07_KC_SF,2022,7,-1.0,49.0,23,44,,,0.0,0.497677011707861,0.44267361162726704,-0.055003400080593956,0,-0.0,0.45371238971175737,0.4417344879034228
2022_07_PIT_MIA,2022,7,7.5,44.5,16,10,,,0.0,0.7264615702621697,0.737945722697916,0.011484152435746298,1,0.9099999999999999,0.5522262139425381,0.572952162804218
2022_07_CHI_NE,2022,7,9.5,40.0,14,33,,,0.0,0.7728364052746279,0.7953569679269956,0.02252056265236768,0,-0.0,0.05,0.05
2022_08_BAL_TB,2022,8,2.0,46.0,22,27,,,0.0,0.5480494766888678,0.556357187050419,0.008307710361551202,1,-1.0,0.5474615873511445,0.5666093073489946
2022_08_DEN_JAX,2022,8,1.0,41.0,17,21,,,0.0,0.5046466242274987,0.5291450462638702,0.024498422036371426,1,-1.0,0.5717339290906017,0.5988406091343818
2022_08_CAR_ATL,2022,8,4.5,41.0,37,34,,,0.0,0.6499104422061458,0.6512899527400581,0.001379510533912276,1,0.9099999999999999,0.5370721477885555,0.5527589930652156
2022_08_CHI_DAL,2022,8,10.5,43.0,49,29,,,0.0,0.7868489845163884,0.8147821632120011,0.027933178695612737,0,0.0,0.05,0.05
