player_id,stat_type,model_version,pred_yards_v1,pred_q05_v1,pred_q95_v1,actual_yards,n_games,pred_yards_v2_5,pred_q05_v2_5,pred_q95_v2_5,error_v1,error_v2_5,abs_error_v1,abs_error_v2_5
00-0035704,passing_yards,hierarchical_v1.0,214.41277236066503,197.4836902660913,229.7718821480736,399.0,5,425.46689647921,284.155893497822,632.074470548859,-184.58722763933497,26.466896479209993,184.58722763933497,26.466896479209993
00-0035710,passing_yards,hierarchical_v1.0,206.84671257822356,194.39982659015718,224.24764517681442,376.3636363636364,11,401.084939494598,265.935883255074,595.609917068891,-169.5169237854128,24.721303130961644,169.5169237854128,24.721303130961644
00-0035993,passing_yards,hierarchical_v1.0,182.61388394162955,167.0894002472191,203.61500899308118,171.66666666666666,3,164.79546168356,109.760497751483,247.234216772312,10.947217274962895,-6.871204983106651,10.947217274962895,6.871204983106651
00-0036212,passing_yards,hierarchical_v1.0,221.28312716954497,203.5700150481078,239.611772737803,477.8333333333333,12,487.810762944538,328.784144414789,726.959473008077,-256.55020616378835,9.977429611204684,256.55020616378835,9.977429611204684
00-0036264,passing_yards,hierarchical_v1.0,213.0167923657909,194.17561858317384,238.97859804667635,447.26666666666665,15,419.081587742057,282.128735586836,623.332397938411,-234.24987430087575,-28.185078924609627,234.24987430087575,28.185078924609627
00-0036355,passing_yards,hierarchical_v1.0,259.7163307951836,237.39157668096001,281.57194719905056,434.94117647058823,17,408.902540005399,276.984154694867,608.384851463621,-175.22484567540465,-26.038636465189256,175.22484567540465,26.038636465189256
00-0036389,passing_yards,hierarchical_v1.0,204.25822454916678,186.33665298682814,223.80205989202256,405.7857142857143,14,366.961607987531,245.811969986025,541.778108679105,-201.5274897365475,-38.82410629818327,201.5274897365475,38.82410629818327
00-0036442,passing_yards,hierarchical_v1.0,248.64669666672287,231.19973717240035,266.9611120393812,562.2941176470588,17,537.934752160124,361.990415729587,794.73150588854,-313.64742098033594,-24.359365486934735,313.64742098033594,24.359365486934735
00-0036945,passing_yards,hierarchical_v1.0,173.28610246542945,159.91301321710029,193.20271993155563,316.0,7,314.170653451036,210.598422598271,464.42713115293,-142.71389753457055,-1.829346548963997,142.71389753457055,1.829346548963997
00-0036971,passing_yards,hierarchical_v1.0,213.38605714115306,198.34659892957575,225.92068808448994,404.9,10,377.414095221116,252.633565581447,553.581077820427,-191.51394285884692,-27.48590477888399,191.51394285884692,27.48590477888399
00-0036972,passing_yards,hierarchical_v1.0,221.19197729931378,207.9540205048796,239.95538254576365,386.375,8,404.90716571458,273.291548507655,596.885951174921,-165.18302270068622,18.532165714580003,165.18302270068622,18.532165714580003
00-0037834,passing_yards,hierarchical_v1.0,238.25130024474834,214.88693369318847,256.5059855971613,483.0,16,482.876027734336,322.892410447,721.552471687942,-244.74869975525166,-0.12397226566400832,244.74869975525166,0.12397226566400832
00-0038122,passing_yards,hierarchical_v1.0,192.95577160987884,169.73459309623817,211.1920692019681,127.66666666666667,3,165.656872060251,111.245019191874,249.299617048402,65.28910494321217,37.99020539358433,65.28910494321217,37.99020539358433
00-0038579,passing_yards,hierarchical_v1.0,202.27577720395877,189.2462354163454,223.19146711391215,410.85714285714283,7,395.117652817686,267.271690565251,592.099152690478,-208.58136565318406,-15.739490039456825,208.58136565318406,15.739490039456825
00-0038583,passing_yards,hierarchical_v1.0,174.36939348475698,156.92986722933097,197.7920052460644,136.33333333333334,3,172.0840954039,113.665703268177,258.15772038731,38.03606015142364,35.75076207056665,38.03606015142364,35.75076207056665
00-0039150,passing_yards,hierarchical_v1.0,182.67744463216007,167.43228485436728,193.0908879352024,375.0833333333333,12,354.027627888407,235.191447610422,530.891802407032,-192.40588870117324,-21.055705444926332,192.40588870117324,21.055705444926332
00-0039152,passing_yards,hierarchical_v1.0,198.8365240633102,180.9625312196239,216.53798881120875,389.3,10,397.607027509165,266.846970876194,594.713037934488,-190.4634759366898,8.307027509164982,190.4634759366898,8.307027509164982
00-0039163,passing_yards,hierarchical_v1.0,239.24783950256955,225.31445403580057,258.0795833619463,435.52941176470586,17,460.238490431361,309.298684853586,676.253696699294,-196.2815722621363,24.70907866665516,196.2815722621363,24.70907866665516
00-0039164,passing_yards,hierarchical_v1.0,181.49171404170337,165.18796378693898,207.357840737574,342.6,10,338.167249540907,224.636827468497,505.314962745637,-161.10828595829665,-4.432750459093029,161.10828595829665,4.432750459093029
00-0039376,passing_yards,hierarchical_v1.0,201.28060917241132,182.99429911881978,219.302268577285,342.0,7,364.133774726943,241.454163577088,548.571341645832,-140.71939082758868,22.13377472694299,140.71939082758868,22.13377472694299
00-0039732,passing_yards,hierarchical_v1.0,207.48540503162732,194.86421837548608,225.9127809987819,425.2352941176471,17,418.967662187336,276.539543257915,632.499163019425,-217.74988908601975,-6.267631930311097,217.74988908601975,6.267631930311097
00-0039851,passing_yards,hierarchical_v1.0,214.33109665460563,196.33492462469277,235.15902796014083,409.72727272727275,11,408.703012283996,275.744386390415,618.060831559755,-195.39617607266712,-1.0242604432767735,195.39617607266712,1.0242604432767735
00-0039910,passing_yards,hierarchical_v1.0,230.64067962093625,210.9946969031929,244.9215609757134,443.25,16,436.552931223305,293.842107619494,651.525166017718,-212.60932037906375,-6.697068776695005,212.60932037906375,6.697068776695005
00-0039918,passing_yards,hierarchical_v1.0,204.49100721148838,190.77352661684606,220.4460513781836,407.88235294117646,17,397.99606800547,267.428277011758,597.32042730553,-203.39134572968808,-9.886284935706442,203.39134572968808,9.886284935706442
